AstraVPN,A Google user,1,fake app very slow 😔,2026-06-16 04:41:25.0000000,Unknown,Negative,Connectivity & Performance
AstraVPN,A Google user,5,کېلۍ,2026-06-16 04:08:50.0000000,Unknown,Positive,Positive Feedback
AstraVPN,A Google user,5,this app it so really work,2026-06-16 02:36:31.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,it's a good 😊,2026-06-16 00:49:30.0000000,2.1.7,Positive,Positive Feedback
AstraVPN,A Google user,1,you no you bet,2026-06-15 18:30:46.0000000,2.1.7,Negative,Other Issues
AstraVPN,A Google user,4,NICE,2026-06-15 17:48:31.0000000,2.1.7,Positive,Positive Feedback
AstraVPN,A Google user,5,best,2026-06-15 17:28:57.0000000,2.1.7,Positive,Positive Feedback
AstraVPN,A Google user,5,waan maa Mama BBY,2026-06-15 16:52:47.0000000,Unknown,Positive,Positive Feedback
AstraVPN,A Google user,5,good,2026-06-15 16:40:28.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,great,2026-06-15 15:42:47.0000000,Unknown,Positive,Positive Feedback
AstraVPN,A Google user,5,very good,2026-06-15 08:21:12.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,1,timelimit,2026-06-15 06:38:27.0000000,2.1.6,Negative,Subscription & Limitation Issues
AstraVPN,A Google user,5,Ohhhhhh very good one ...,2026-06-14 20:53:48.0000000,Unknown,Positive,Positive Feedback
AstraVPN,A Google user,5,good,2026-06-14 18:23:40.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,nice app,2026-06-14 16:10:16.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,the best,2026-06-14 16:00:23.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,faltu,2026-06-14 15:05:43.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,good,2026-06-14 12:28:25.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,खूप छान आहे,2026-06-14 10:24:30.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,gud,2026-06-14 07:03:34.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,1,okk,2026-06-13 20:48:27.0000000,2.1.7,Negative,Other Issues
AstraVPN,A Google user,5,good,2026-06-13 20:19:19.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,3,GOOD,2026-06-13 20:05:22.0000000,2.1.6,Neutral,Other Issues
AstraVPN,A Google user,5,best vpn,2026-06-13 17:14:46.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,Good,2026-06-13 16:59:38.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,mmmm good,2026-06-13 15:56:11.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,good,2026-06-13 15:51:12.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,good,2026-06-13 15:21:06.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,nice,2026-06-13 13:26:32.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,very nice,2026-06-13 12:39:30.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,very good 👍 app,2026-06-13 11:40:47.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,👍👍,2026-06-13 09:40:22.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,good vpn h,2026-06-13 05:52:50.0000000,2.1.5,Positive,Positive Feedback
AstraVPN,A Google user,5,👌,2026-06-13 04:45:31.0000000,Unknown,Positive,Positive Feedback
AstraVPN,A Google user,5,nice,2026-06-13 02:32:00.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,easy to get,2026-06-12 22:50:55.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,good 👍,2026-06-12 17:35:52.0000000,2.1.7,Positive,Positive Feedback
AstraVPN,A Google user,5,gorgeous,2026-06-12 16:28:25.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,super,2026-06-12 15:29:03.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,5,good,2026-06-12 12:51:17.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,1,too much ads,2026-06-12 08:44:06.0000000,2.1.6,Negative,Advertising Issues
AstraVPN,A Google user,1,no good vpn 😋,2026-06-12 05:49:15.0000000,Unknown,Negative,Other Issues
AstraVPN,A Google user,5,Good,2026-06-12 02:58:28.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,4,very nice,2026-06-12 02:57:34.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,4,👍,2026-06-12 02:06:46.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,1,not connecting and meny ads show only,2026-06-12 01:38:13.0000000,2.1.6,Negative,Connectivity & Performance
AstraVPN,A Google user,5,very slow,2026-06-11 23:39:56.0000000,Unknown,Positive,Positive Feedback
AstraVPN,A Google user,5,nais app,2026-06-11 20:59:04.0000000,2.1.6,Positive,Positive Feedback
AstraVPN,A Google user,1,bad experience,2026-06-11 19:20:25.0000000,2.1.6,Negative,Advertising Issues
